location_id,city,open_soon,postal_code,longitude,latitude,station_id,kw,charger_type,bundesland
hirschbergsupercharger,Hirschberg,0,69493,8.6374800000,49.5073820000,hirschbergsupercharger,150,super,Baden-Württemberg
hirschbergsupercharger,Hirschberg,0,69493,8.6374800000,49.5073820000,hirschbergsupercharger,150,super,Baden-Württemberg
hirschbergsupercharger,Hirschberg,0,69493,8.6374800000,49.5073820000,hirschbergsupercharger,150,super,Baden-Württemberg
hirschbergsupercharger,Hirschberg,0,69493,8.6374800000,49.5073820000,hirschbergsupercharger,150,super,Baden-Württemberg
hirschbergsupercharger,Hirschberg,0,69493,8.6374800000,49.5073820000,hirschbergsupercharger,150,super,Baden-Württemberg
hirschbergsupercharger,Hirschberg,0,69493,8.6374800000,49.5073820000,hirschbergsupercharger,150,super,Baden-Württemberg
hohenwarslebensupercharger,Hohenwarsleben,0,39326,11.4930010000,52.1745370000,hohenwarslebensupercharger,150,super,Sachsen-Anhalt
hohenwarslebensupercharger,Hohenwarsleben,0,39326,11.4930010000,52.1745370000,hohenwarslebensupercharger,150,super,Sachsen-Anhalt
hohenwarslebensupercharger,Hohenwarsleben,0,39326,11.4930010000,52.1745370000,hohenwarslebensupercharger,150,super,Sachsen-Anhalt
hohenwarslebensupercharger,Hohenwarsleben,0,39326,11.4930010000,52.1745370000,hohenwarslebensupercharger,150,super,Sachsen-Anhalt
hohenwarslebensupercharger,Hohenwarsleben,0,39326,11.4930010000,52.1745370000,hohenwarslebensupercharger,150,super,Sachsen-Anhalt
hohenwarslebensupercharger,Hohenwarsleben,0,39326,11.4930010000,52.1745370000,hohenwarslebensupercharger,150,super,Sachsen-Anhalt
illertissensupercharger,Illertissen,0,89257,10.1273890000,48.2188060000,illertissensupercharger,250,super,Bayern
illertissensupercharger,Illertissen,0,89257,10.1273890000,48.2188060000,illertissensupercharger,250,super,Bayern
illertissensupercharger,Illertissen,0,89257,10.1273890000,48.2188060000,illertissensupercharger,250,super,Bayern
illertissensupercharger,Illertissen,0,89257,10.1273890000,48.2188060000,illertissensupercharger,250,super,Bayern
illertissensupercharger,Illertissen,0,89257,10.1273890000,48.2188060000,illertissensupercharger,250,super,Bayern
illertissensupercharger,Illertissen,0,89257,10.1273890000,48.2188060000,illertissensupercharger,250,super,Bayern
illertissensupercharger,Illertissen,0,89257,10.1273890000,48.2188060000,illertissensupercharger,250,super,Bayern
illertissensupercharger,Illertissen,0,89257,10.1273890000,48.2188060000,illertissensupercharger,250,super,Bayern
illertissensupercharger,Illertissen,0,89257,10.1273890000,48.2188060000,illertissensupercharger,250,super,Bayern
illertissensupercharger,Illertissen,0,89257,10.1273890000,48.2188060000,illertissensupercharger,250,super,Bayern
illertissensupercharger,Illertissen,0,89257,10.1273890000,48.2188060000,illertissensupercharger,250,super,Bayern
illertissensupercharger,Illertissen,0,89257,10.1273890000,48.2188060000,illertissensupercharger,250,super,Bayern
illertissensupercharger,Illertissen,0,89257,10.1273890000,48.2188060000,illertissensupercharger,250,super,Bayern
