station_id,point_id,power,public key,steckertyp,inbetriebnahme
13039,1,50.0,,,2018-03-28
13039,2,43.0,,AC Kupplung Typ 2,2018-03-28
13040,1,11.0,,,2018-08-10
13040,2,11.0,,AC Steckdose Typ 2,2018-08-10
13041,1,150.0,,,2020-06-09
13041,2,50.0,,DC Kupplung Combo,2020-06-09
13041,3,22.0,,AC Steckdose Typ 2,2020-06-09
13041,4,22.0,,AC Kupplung Typ 2,2020-06-09
13042,1,22.0,,,2020-01-16
13042,2,22.0,,"AC Steckdose Typ 2, AC Schuko",2020-01-16
13043,1,22.0,,,2020-01-17
13043,2,22.0,,"AC Steckdose Typ 2, AC Schuko",2020-01-17
13044,1,22.0,,,2021-06-18
13044,2,22.0,,AC Steckdose Typ 2,2021-06-18
13045,1,22.0,,,2021-01-04
13045,2,22.0,,AC Steckdose Typ 2,2021-01-04
13046,1,22.0,,,2021-01-04
13046,2,22.0,,AC Steckdose Typ 2,2021-01-04
13047,1,22.0,,,2021-01-04
13047,2,22.0,,AC Steckdose Typ 2,2021-01-04
13048,1,11.0,,,2020-12-01
13049,1,22.0,,,2021-05-11
13049,2,22.0,,"AC Steckdose Typ 2, AC Schuko",2021-05-11
13049,1,22.0,,,2021-05-10
13049,2,22.0,,"AC Steckdose Typ 2, AC Schuko",2021-05-10
